Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 145534;CIE 00001;ET1 Fs 1.0001;ET2 Fs 1.0001;;;;;;;;CII 0104;;;;;;
TM 249083;CIE 00002;;;;;;;;;CIL XI.1565;;;CII App. 0029;;;;
TM 153589;CIE 00003;ET1 Fs 8.0002;ET2 Fs 8.0002;TLE 0675;;;;;;;CII 0103;;;;;;
TM 153592;CIE 00004;ET1 Fs 8.0005;ET2 Fs 8.0005;TLE 0689;;;;;;;CII 0258;;;;;;
TM 153570;CIE 00005;ET1 Fs 1.0008;ET2 Fs 1.0008;TLE 0679;;;;;;;;;CII App. 0023;;;;
TM 153566;CIE 00006;ET1 Fs 1.0004;ET2 Fs 1.0004;TLE 0678;;;;;;;CII 0265;;;;;;
TM 153571;CIE 00007;ET1 Fs 1.0009;ET2 Fs 1.0009;;;;;;;;CII 0263;;;;;;
TM 153591;CIE 00008;ET1 Fs 8.0004;ET2 Fs 8.0004;TLE 0683;;;;;;;CII 0259;;;;;;
TM 153519;CIE 00009;ET1 Ar 1.0072;ET2 Ar 1.0072;;;;;;;;CII 0286;;;;;;
TM 153520;CIE 00010;ET1 Ar 1.0073;ET2 Ar 1.0073;;;;;;;;CII 0287;;;;;;
TM 148470;CIE 00011;ET1 Vt 1.0058;ET2 Vt 1.0058;TLE 0684;;;;;;;CII 0266;;;;;;
TM 148481;CIE 00012;ET1 Vt 1.0069;ET2 Vt 1.0069;;;;;;;;;;;;;;
TM 148482;CIE 00013;ET1 Vt 1.0070;ET2 Vt 1.0070;;;;;;;;;;CII App. 0046;;;;
TM 148484;CIE 00014;ET1 Vt 1.0072;ET2 Vt 1.0072;TLE 0411;;;;;;;;;CII App. 0047;;;;
TM 145537;CIE 00015;ET1 Fs 7.0001;ET2 Fs 7.0001;TLE 0682;;;;;;;CII 0264;;;;;;
TM 153588;CIE 00016;ET1 Fs 7.0002;ET2 Fs 7.0002;TLE 0681;;;;;;;CII 0276;;;;;;
TM 153568;CIE 00017;ET1 Fs 1.0006;ET2 Fs 1.0006;;;;;;;;;;CII App. 0035;;;;
TM 248770;CIE 00018;;;;;;;;;CIL XI.1763;;;;;;;
TM 148416;CIE 00019;ET1 Vt 1.0004;ET2 Vt 1.0004;;;;;;;;CII 0308;;;;;;
TM 248787;CIE 00020;;;;;;;;;CIL XI.1762;CII 0312;;;;;;
TM 148423;CIE 00021;ET1 Vt 1.0011;ET2 Vt 1.0011;;;;;;;;CII 0309;;;;;;
TM 248788;CIE 00022;;;;;;;;;CIL XI.1765;CII 0311;;;;;;
TM 148420;CIE 00023;ET1 Vt 1.0008;ET2 Vt 1.0008;;;;;;;;CII 0310;;;;;;
TM 248773;CIE 00024;;;;;;;;;CIL XI.1764;CII 0313;;;;;;
TM 145471;CIE 00025;ET1 Vt 1.0001;ET2 Vt 1.0001;;;;;;;;CII 0324;;;;;;
TM 148414;CIE 00026;ET1 Vt 1.0002;ET2 Vt 1.0002;;;;;;;;CII 0322;;;;;;
TM 148422;CIE 00027;ET1 Vt 1.0010;ET2 Vt 1.0010;;;;;;;;CII 0338;;;;;;
TM 148419;CIE 00028;ET1 Vt 1.0007;ET2 Vt 1.0007;;;;;;;;CII 0321;;;;;;
TM 148425;CIE 00029;ET1 Vt 1.0013;ET2 Vt 1.0013;;;;;;;;CII 0319;;;;;;
TM 148427;CIE 00030;ET1 Vt 1.0015;ET2 Vt 1.0015;;;;;;;;CII 0326;;;;;;
TM 148430;CIE 00031;ET1 Vt 1.0018;ET2 Vt 1.0018;;;;;;;;CII 0339;;CII App. 0833;;;;
TM 148421;CIE 00032;ET1 Vt 1.0009;ET2 Vt 1.0009;;;;;;;;CII 0325 bis h;;;;;;
TM 148417;CIE 00033;ET1 Vt 1.0005;ET2 Vt 1.0005;;;;;;;;CII 0364 bis o;;;;;;
TM 148415;CIE 00034;ET1 Vt 1.0003;ET2 Vt 1.0003;;;;;;;;CII 0364 bis p;;;;;;
TM 148431;CIE 00035;ET1 Vt 1.0019;ET2 Vt 1.0019;;;;;;;;CII 0365;;;;;;
TM 148433;CIE 00036;ET1 Vt 1.0021;ET2 Vt 1.0021;;;;;;;;;;;;;;
TM 148434;CIE 00037;ET1 Vt 1.0022;ET2 Vt 1.0022;;;;;;;;CII 0325 bis i;;;;;;
TM 148441;CIE 00038;ET1 Vt 1.0029;ET2 Vt 1.0029;;;;;;;;CII 0325 bis e;;;;;;
TM 148442;CIE 00039;ET1 Vt 1.0030;ET2 Vt 1.0030;;;;;;;;CII 0325 bis c;;;;;;
TM 148443;CIE 00040;ET1 Vt 1.0031;ET2 Vt 1.0031;;;;;;;;CII 0325 bis a;;;;;;
TM 148446;CIE 00041;ET1 Vt 1.0034;ET2 Vt 1.0034;;;;;;;;CII 0325 bis d;;;;;;
TM 148448;CIE 00042;ET1 Vt 1.0036;ET2 Vt 1.0036;;;;;;;;CII 0325 bis g;;;;;;
TM 148614;CIE 00043;ET1 Vt 4.0004;ET2 Vt 4.0004;TLE 0400;;;;;;;CII 0364;;;;;;
TM 148454;CIE 00044;ET1 Vt 1.0042;ET2 Vt 1.0042;;;;;;;;CII 0321 bis;;;;;;
TM 148455;CIE 00045;ET1 Vt 1.0043;ET2 Vt 1.0043;;;;;;;;CII 0317;;;;;;
TM 148456;CIE 00046;ET1 Vt 1.0044;ET2 Vt 1.0044;;;;;;;;CII 0329 bis;;;;;;
TM 148623;CIE 00047 a;ET1 Vt 0.0002;ET2 Vt 0.0002;;;;;;;;CII 0362 ter a;;;Multiple references. Common denominator: Trismegistos. (3);;;v 1.0.2: corrected formatting of CIE reference.
