titulus,rix_et,dating_latin,has_inscriptio,in_corpus_ciep
20001,,,1,0
20002,,V saec. a.Ch.n.,1,0
20003,,,1,0
20004,,IV - III saec. a.Ch.n.,0,0
20005,,II saec. a.Ch.n.,0,0
20006,Ad2.40,III saec. a.Ch.n.,1,1
20007,,III-II saec. a.Ch.n.,0,0
20008,,IV saec. a.Ch.n.,1,0
20009,,III saec. a.Ch.n.,0,0
20010,,,0,0
20011,,,0,0
20012,Ad2.49,II saec. a.Ch.n.,1,0
20013,,,1,0
20014,,,0,0
20015,,,1,0
20016,,,0,0
20017,,,0,0
20018,,II saec. a.Ch.n.,0,0
20019,Ad2.58,IV saec. a.Ch.n.,1,1
20020,Ad2.39,,1,0
20021,,,1,0
20022,,,1,0
20023,,IV - medio III saec. a.Ch.n.,0,0
20024,,III saec. a.Ch.n.,1,0
20025,,medio II saec. a.Ch.n.,0,0
20026,,IV - ineunti III saec. a.Ch.n.,0,0
20027,,,0,0
20028,Ad2.57,IV - III saec. a.Ch.n.,1,1
20029,,III saec. a.Ch.n.,1,0
20030,Ad2.29,IV - III saec. a.Ch.n.,1,1
20031,,II saec. a.Ch.n.,0,0
20032,,V saec. a.Ch.n.,0,1
20033,,II saec. a.Ch.n.,0,0
20034,,,0,0
20035,,VI - V saec. a.Ch.n.,0,0
20036,,,1,0
20037,Ad2.36,V - IV saec. a.Ch.n.,1,1
20038,,II saec. a.Ch.n.,0,0
20039,,VI - ineunti V saec. a.Ch.n.,1,0
20040,,VI - V saec. a.Ch.n.,1,0
20041,,medio III saec. a.Ch.n.,0,0
20042,,,1,0
20043,,IV saec. a.Ch.n.,0,1
20044,,,0,0
20045,,,0,0
20046,,V - IV saec. a.Ch.n.,0,0
20047,,IV - ineunti III saec. a.Ch.n.,0,0
20048,,II saec. a.Ch.n.,0,0
20049,,,1,0
20050,,,1,0
20051,Ad2.37,,1,1
20052,,,1,0
20053,,,0,0
20054,,,0,0
20055,,,0,0
20056,,,0,0
20057,,,0,0
20058,,,0,0
20059,,,0,0
20060,,,1,0
20061,,,0,0
20062,,V-IV saec. a.Ch.n.,1,0
20063,,,0,0
20064,,V-IV saec. a.Ch.n.,0,0
20065,,IV - ineunti III saec. a.Ch.n.,0,0
20066,,IV - ineunti III saec. a.Ch.n.,0,0
20067,,II saec. a.Ch.n.,1,0
20068,,,0,0
20069,,IV - ineunti III saec. a.Ch.n.,0,0
20070,,,0,0
20071,,,0,0
20072,,,0,1
20073,,,0,0
20074,,,0,0
20075,,,1,0
20076,,IV saec. a.Ch.n.,0,0
20077,,,0,0
20078,,,0,0
20079,,,1,0
20080,,,1,0
20081,,,0,0
20082,,IV saec. a.Ch.n.,0,0
20083,,,0,0
20084,Ad2.65,,1,0
20085,,medio IV saec. a.Ch.n.,0,1
20086,,V-IV saec. a.Ch.n.,0,0
20087,,,0,0
20088,,,1,0
20089,,VI saec. a.Ch.n.,0,0
20090,,exeunti VI saec. a.Ch.n.,1,0
20091,,,1,0
20092,,exeunti VI saec. a.Ch.n.,1,0
20093,,,0,0
20094,,,0,0
20095,,,0,0
20096,,,0,0
20097,,exeunti IV saec. a.Ch.n.,0,0
20098,,IV - ineunti III saec. a.Ch.n.,0,0
20099,,,0,0
20100,Ad2.73,,1,0
20101,,IV saec. a.Ch.n.,0,0
20102,,IV saec. a.Ch.n.,0,0
20103,,IV - ineunti III saec. a.Ch.n.,0,0
20104,,IV - ineunti III saec. a.Ch.n.,0,0
20105,,III saec. a.Ch.n.,1,0
20106,,III saec. a.Ch.n.,0,0
20107,,IV - III saec. a.Ch.n.,0,0
20108,,,0,0
20109,,IV saec. a.Ch.n.,0,0
20110,,,1,0
20111,,,1,0
20112,,,0,0
20113,,II saec. a.Ch.n.,1,0
20114,,,0,0
20115,,,0,0
20116,,IV - ineunti III saec. a.Ch.n.,0,0
20117,,III saec. a.Ch.n.,0,0
20118,,III saec. a.Ch.n.,0,0
20119,,,0,0
20120,Ad2.74,,1,0
20121,,,0,1
20122,,,0,0
20123,,,0,0
20124,,II saec. a.Ch.n.,0,0
20125,,,0,0
20126,Ad2.34,VI - IV saec. a.Ch.n.,1,1
20127,,,1,0
20128,,,1,0
20129,,,0,0
20130,,,0,0
20131,,II saec. a.Ch.n.,0,0
20132,,,0,0
20133,Ad2.4,IV-III saec. a.Ch.n.,1,0
20134,,,0,0
20135,Ad4.1,IV saec. a.Ch.n.,1,0
20136,,IV-III saec. a.Ch.n.,0,0
20137,,,1,0
20138,,,0,0
20139,,,1,1
20140,,,1,0
20141,,,0,0
20142,,IV saec. a.Ch.n.,0,0
20143,,,1,0
20144,,,0,0
20145,,,1,0
20146,,VI saec. a.Ch.n.,0,0
20147,,,0,1
20148,,VI-V saec. a.Ch.n.,0,0
20149,,V saec. a.Ch.n.,0,0
20150,,medio V saec. a.Ch.n.,0,0
20151,,VI - medio V saec. a.Ch.n.,0,0
20152,,,0,0
20153,,VI - medio V saec. a.Ch.n.,1,0
20154,,,0,0
20155,,VI - medio V saec. a.Ch.n.,1,0
20156,,,1,0
20157,,,0,0
20158,,exeunti VI saec. a.Ch.n.,1,0
20159,,V saec. a.Ch.n.,1,1
20160,,V saec. a.Ch.n.,0,0
20161,,,0,0
20162,,,1,0
20163,,,1,0
20164,,,0,0
20165,,,0,0
20166,,,0,0
20167,,,0,0
20168,,V saec. a.Ch.n.,1,0
20169,,VI - V saec. a.Ch.n.,0,0
20170,,,0,0
20171,,,0,0
20172,,VI - ineunti V saec. a.Ch.n.,0,0
20173,,VI saec. a.Ch.n.,1,0
20174,,,0,0
20175,,,1,0
20176,,V saec. a.Ch.n.,1,0
20177,,,0,0
20178,,,0,0
20179,,V saec. a.Ch.n.,0,0
20180,Ad2.1,VI - ineunti V saec. a.Ch.n.,1,0
20181,Ad2.52,IV - ineunti III saec. a.Ch.n.,1,0
20182,Ad2.50,III saec. a.Ch.n.,1,0
20183,,III saec. a.Ch.n.,1,1
20184,Ad2.42,V-IV saec. a.Ch.n.,1,0
20185,,,1,0
20186,,,1,0
20187,,IV - III saec. a.Ch.n.,1,0
20188,Ad2.30,medio III saec. a.Ch.n.,1,0
20189,Ad2.43,,1,1
20190,Ad2.33,,1,0
20191,,III saec. a.Ch.n.,1,0
20192,,,1,0
20193,,,0,0
20194,,VI saec. a.Ch.n.,0,0
20195,,,1,0
20196,Ad2.47,IV - ineunti III saec. a.Ch.n.,1,0
20197,,III saec. a.Ch.n.,1,1
20198,,II - ineunti I saec. a.Ch.n.,1,0
20199,,II saec. a.Ch.n.,0,0
20200,,II saec. a.Ch.n.,0,0
20201,,III saec. a.Ch.n.,1,0
