entry,col,line,text,flags,ocr,title
7002,83,1,la<r>gal [c]aes leganal <sθukt>ih . n<e>hunt • aisa<r>u . ust<e>n • fr a<te>m<er>ki . fust • ran<v>f kamusiaθrihtentχa • <p>i ml culiχna v--ura venelus nas nice] }-,ocr?,LA<R>GAL [C]AES LEGANAL <S6UKT>IH . N<E>HUNT • AISA<R>U . UST<E>N • FR A<TE>M<ER>KI . FUST • RAN<V>8 KAMUS1A6RIHTENTXA •,Tabula Capuana (TLE 2)
7002,83,2,<θ>j> • ril • <6>3 ml venerus limrcesa <clun> ml putiza pu[ri ias] alθrnas el acesχ acve i,,<6>J> • RIL • <6>3 Ml VENERUS LIMRCESA <CLUN> Ml PUTIZA PU[RI IAS] AL6RNAS El ACESX ACVE I,Tabula Capuana (TLE 2)
7002,83,8,-eθamsul scuvune marzac saca i,,+E6AMSUL SCUVUNE MARZAC SACA I,Tabula Capuana (TLE 2)
7002,83,9,l<s>vei tule ilucve a<p>irase leθamsul ilucu cu iesχu perpri cipen <a>pires,ocr?,l<S>VEI TULE ILUCVE A<P>IRASE LE9AMSUL ILUCU CU 1ESXU PERPRI CIPEN <A>PIRES,Tabula Capuana (TLE 2)
7002,83,10,racvanies huθ zusle riθna<i> tul tei snuza<i>nt eh<a>maiθi c<u>veis c<a>θnis f[a]<n>-,ocr?,RACVANIES HU6 ZUSLE RI6NA<I> TUL TEI SNUZA<1>NT EH<A>MAI6I C<U>VEIS C<A>9NIS F[A]<N>+,Tabula Capuana (TLE 2)
7002,83,11,-i<r>[i] marzaintehamaiθi <i>tal sacri utus ec< u>nzai iti alχu scuvse riθnai tu-,ocr-fixed,+I<R>[I] MARZAINTEHAMAI6I <I>TAL SACRI UTUS EC< U>NZAI ITI ALXU SCUVSE R10NAI TU+,Tabula Capuana (TLE 2)
7002,83,12,-l tei ci zusieacunsiricima nunoeri eθ iguma zu/,ocr-fixed ocr?,+L TEI CI ZUSIEACUNSIRICIMA NUNOERI E0 IgUMA ZU/,Tabula Capuana (TLE 2)
7002,83,13,-1 avθleoa<l>um vacil ia leeamsul nunoeri vacil ia riθnai taeθ aθene-,ocr?,+1 AV6LEOA<l>UM VACIL IA LEeAMSUL NUNOERI VACIL IA RI6NAI TAE6 A6ENE+,Tabula Capuana (TLE 2)
7002,83,14,-1 ca perpri celu tule apirase unial<θ>i <turza > esχ<a>θce el ig<um un>ialθ ara,ocr-fixed,+1 CA PERPRI CELU TULE APIRASE UN1AL<0>I <TURZA > ESX<A>0CE El Ig<UM UN>IAL6 ARA,Tabula Capuana (TLE 2)
7002,83,15,epnicei nunθ<c>uci iei tu<rza> i ri<e>[na]<l t>ae iti l<a> halχ aper tule a4es ilucu vacil zu χn-,,EPNICEI NUN6<C>UCI IEI TU<RZA> I RI<e>[NA]<l T>AE ITI l<A> HALX APER TULE A4ES ILUCU VACIL ZU XN+,Tabula Capuana (TLE 2)
