entry,text,flags,shared_with_ciep,containment
1,67 3 ---r i sa 68 3 -al 89 3 ca talon /slevai api re nunθer- 1 caupne . la . puia < <f>arari • alun<e>- [•] <vel>usa • amθni • v • velθinei . alfial > - rafumsnas i 8 - cemtiui • capruna • • p • vap 28 29 > ceinei,ocr?,0,
3,[•] lupu • eitva • ta-,,1,0.64
34,lm want lm>g,,0,
41,1 lθ - setri > velθurnas,,0,
52,pultace . ce i cna . icapuinei l • larθru . oepza cure • malave pultace l [---] [---] -st-v<e>a <v>lca<e> fuluna <l>-ultace /acep fuluna . mazutiu l • larθu <l>a . armne alruz . fuluna l • larθu a . velan<i> . pu i ne a • velusna fasta . <l> larθu laθi • • 4lavi urmte l • armne masve . ceicn<e>i fwes etra -v- θusce . fvimv . l<a>roj . pac <e> /θusaθur se • lasva θlu θupit aisecetati /herace p e,ocr-fixed ocr?,1,0.37
53,fl • supri manince vipinal tra ulχnisla cl<t> • tatanus,ocr-fixed,1,0.88
54,{agatinia . l • f,,0,
59,- 2 larθalisa,ocr-fixed,0,
90,16 -umχva 20 masan • tiur- 4 -sa • meχ • θuta • θefa-,,0,
99,laris suplu,,1,
100,θania rannei presntessa,,1,1.00
101,ml - ma i velus i rutlnis i avlesla •,,1,0.93
102,avil s ril • 65,,0,
103,[la]<r>ti . taminai . ril • <21>,,0,
104,a • tite • a • cale • clanti . apunas • ril • 2/,,1,0.50
105,ml a<vile>- tite<s> . <- [---] <u>χs 1 e . muleni<k>e,,0,
106,θana • titi • au,,0,
107,raungu • titi • a • macuni[al],,0,
108,a • trepi • ril . 65,,0,
109,- ravntza • urinati . ar • ril • 2,,1,1.00
110,arnθ • urinate • ls,,0,
111,ml arnθial us l<ni>efi,,0,
112,a • f<lav>e • a • ceicnal,,0,
113,ls • flave • ls • curial • ril • 48,,0,
114,/ [• fl]ave • ls • felmuial . r . --,,0,
115,/ [• f]lave • ls • fe<lm>uial • r • 21,,0,
117,seθra i fulunei,,0,
118,ml . ma [.] suel> [•] l • fulus,,1,0.38
119,[θ]<a>na mi<nia avles cai>n<al>,,0,
120,au . <a>--nu-- - <> ----r i l • 21,,0,
121,av • c< [---] inu-e [.j vela[nia]<l> •,,0,
