siglum,text_plain,date_label,sortdate,latitude,longitude,object,direction,type_inscription,condition,meaning,sources,checklevel,page_url,revision_id,revision_timestamp
AS 3.1,minimu?uvanikekeivale,second half of 7th c. BC,-625,43.318,11.445,AS 3.1 Castelnuovo Berardenga,sinistroverse,dedicatory,complete; damaged,'Keivale gave me',Colonna 1998; Gambari & Colonna 1988; Sassatelli 2008; Mangani 1986,2,https://lexlep.univie.ac.at/wiki/AS_3.1,32153,2025-03-10T18:43:29Z
AS 3.2,minimuluvanikekeiṿ[ ]eś,second half of 7th c. BC,-625,43.318,11.445,AS 3.2 Castelnuovo Berardenga,sinistroverse,dedicatory,incomplete; damaged,'Keivale ? gave me',Colonna 1998; Gambari & Colonna 1988; Sassatelli 2008; Mangani 1986,2,https://lexlep.univie.ac.at/wiki/AS_3.2,32226,2025-03-14T09:46:08Z
Cl 3.2,minevikumuluevnekearp̣aśkamaia,last quarter of 7th c. BC,-612,43.017,11.95,Cl 3.2 Chiusi,sinistroverse,dedicatory,complete,'Viku gave me to Arpa Kamai',Morandi 2004; CIE; TLE; ET²; Cristofani 1977,2,https://lexlep.univie.ac.at/wiki/Cl_3.2,32154,2025-03-10T19:01:16Z
Cr 3.22,micelθestra,late 6th c. BC,-510,42,12.1,Cr 3.22 Cerveteri,sinistroverse,dedicatory,unknown,'I (was given) by Celθe',Colonna 1985,3,https://lexlep.univie.ac.at/wiki/Cr_3.22,32155,2025-03-10T19:11:54Z
Li 1.1,misuθilarθialmuθikuś,late 6th–early 5th c. BC,-500,44.517,7.467,Li 1.1 Busca,sinistroverse,funerary,complete,'I (am) the grave of Larθ Muθiku',Aigner Foresti 1985; Colonna 1998; TLE; NRIE; Tibiletti Bruno 1968d; Mommsen 1853; CII; Gambari & Colonna 1988; Sassatelli 2008; Verger 2001; Durandi 1774,5,https://lexlep.univie.ac.at/wiki/Li_1.1,32159,2025-03-10T22:08:35Z
Li 1.2,minemetịẹś,first half of 5th c. BC,-475,44.405,8.931,Li 1.2 Genova,sinistroverse,unknown,complete,'I (am) of Nemetie',Maggiani 1987; De Simone 1980; Sassatelli 2008; Colonna 2004; Arcà & Rubat Borel 2024; Bermond Montanari 1980; Bermond Montanari 1980b,1,https://lexlep.univie.ac.at/wiki/Li_1.2,32293,2025-03-16T21:40:22Z
Pa 0.3,eluveitie,early 3rd c. BC,-290,45.162,10.798,Pa 0.3 Mantova,sinistroverse,unknown,complete,'Eluveitie',Sassatelli 2003; Vitali & Kaenel 2000; De Marinis 2005; Pandolfini 1986; De Marinis 1989; Vitali 1998; Sassatelli 2008; ET²; De Marinis 1987b,0,https://lexlep.univie.ac.at/wiki/Pa_0.3,31845,2025-02-01T12:04:26Z
Pa 1.2,kuveipuleisnaimiiśivemiśe[ ]ḳṣ́[ ]ẹṇḳezilaθmiśalalatiamake,early 6th c. BC,-590,44.661,10.802,Pa 1.2 Rubiera,sinistroverse,funerary,incomplete,'Kuvei Puleisnai ...',Bermond Montanari 1988; De Simone 1992b; Malnati & Bermond Montanari 1989; Vitali 1998; Sassatelli 2008,4,https://lexlep.univie.ac.at/wiki/Pa_1.2,32279,2025-03-15T18:33:29Z
SH·1,?χuiiie,6th c. BC,-550,53.993,10.71,SH·1 Pansdorf,ambiguous,unknown,complete,unknown,Stjernquist 1967; Stjernquist 1965; Mees 2020,0,https://lexlep.univie.ac.at/wiki/SH%C2%B71,30254,2024-08-24T10:18:55Z
Vs 1.165,]avileskatacinas,early 6th c. BC,-590,42.715,12.117,Vs 1.165 Orvieto,sinistroverse,funerary,incomplete,'... of Avile Katakina',De Simone 1978b; Vitali 1998; Cristofani 1980; Bonamici et al. 1994,3,https://lexlep.univie.ac.at/wiki/Vs_1.165,32263,2025-03-15T13:59:09Z
Vs 1.87,]vercenas,6th c. BC,-550,42.721,12.106,Vs 1.87 Orvieto,sinistroverse,funerary,unknown,'... of Vercena',CIE; De Simone 1978b; Vitali 1998,3,https://lexlep.univie.ac.at/wiki/Vs_1.87,32262,2025-03-15T13:59:07Z
