title,reading,reading_raw,language,meaning,object,type_object,material,date,sortdate,date_derivation,site,field_name,location,position,direction,script,alphabet,line_number,letter_number_min,letter_number_max,sign_number,craftsmanship,condition,sigla_tm,sigla_pid,sigla_mancini,sigla_mlr,source,object_source,checklevel,object_checklevel,problem,revision_id,revision_timestamp,object_revision_id,object_revision_timestamp,url,object_url
AK-1.1,?]ṇualeri?ienalṣẹ,)nuale!?]ṇuale ri?ienalse!ri?ienalṣẹ,Raetic,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, left",sinistroverse,North Italic script,Magrè alphabet,1,15,,,engraved,damaged,653493,,,,,,0,0,,17794,2021-11-08T18:33:21Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.1,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.10,ḳẹṣạ?????ẹ,unknown!ḳẹṣạ?????ẹ,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",dextroverse,North Italic script,Magrè alphabet,1,9,,,engraved,damaged,653502,,,,,,0,0,,17803,2021-11-08T18:37:14Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.10,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.11,????]ẹ?ḳer·(a)ṇu·aḷekas?,)nuale!????]ẹ?ḳer·(a)ṇu·aḷe kas?,Raetic,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",dextroverse,North Italic script,Magrè alphabet,1,14,,16,engraved,damaged,653503,,,,,,0,0,,17804,2021-11-08T18:37:26Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.11,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.12,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653504,,,,,,0,0,,17805,2021-11-08T18:37:59Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.12,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.13,]?ẹ?[ ]ṇ[,!]?ẹ?[ !  !]ṇ[,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",sinistroverse,unknown,,1,,,,engraved,damaged,653505,,,,,,0,0,,17806,2021-11-08T18:38:11Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.13,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.14,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653506,,,,,,0,0,,17807,2021-11-08T18:38:29Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.14,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.15,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653507,,,,,,0,0,,17808,2021-11-08T18:38:36Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.15,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.16,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653508,,,,,,0,0,,17809,2021-11-08T18:39:05Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.16,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.17,es?esχarṭa,es?esχarṭa,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",dextroverse,North Italic script,Magrè alphabet,1,9,,,engraved,damaged,653509,,,,,,1,0,Ligatur?,17810,2021-11-08T18:39:16Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.17,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.18,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653510,,,,,,0,0,,17811,2021-11-08T18:39:30Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.18,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.19,]???(?)nuale,)nuale!]???(?)nuale,Raetic,'by/of the son of X',AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",dextroverse,North Italic script,Magrè alphabet,1,5,,,engraved,damaged,653511,,,,,,0,0,,17812,2021-11-08T18:39:43Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.19,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.2,?]nuale,)nuale!?]nuale,Raetic,'of/by the son of X',AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, left",sinistroverse,North Italic script,Magrè alphabet,1,5,,,engraved,damaged,653494,,,,,,0,0,,17795,2021-11-08T18:34:16Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.2,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.20,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",unknown,unknown,,1,,,,engraved,damaged,653512,,,,,,0,0,,17813,2021-11-08T18:40:12Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.20,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.21,]nu[ạ,)nuale!]nu[ạ,Raetic,'of/by son of X',AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, medial",dextroverse,North Italic script,Magrè alphabet,1,3,,,engraved,"fragmentary, damaged",653513,,,,,,5,0,Autopsie,17814,2021-11-08T18:40:40Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.21,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.3,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, left",unknown,unknown,,1,,,,engraved,damaged,653495,,,,,,0,0,,17796,2021-11-08T18:34:48Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.3,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.4,]reis,unknown!]reis,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,left,dextroverse,unknown,,1,,,,engraved,damaged,653496,,,,,,0,0,,17797,2021-11-08T18:35:32Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.4,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.5,)keu,unknown!)keu!]ḳẹụ,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,left,dextroverse,unknown,,1,,,,engraved,damaged,653497,,,,,,0,0,,17798,2021-11-08T18:35:42Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.5,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.6,]ṣịeṣ[???]ụale,)si!]ṣị )le!eṣ[???]ụale,Raetic,'of/by X son of Es°' (?),AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, medial",sinistroverse,North Italic script,Magrè alphabet,1,11,,,engraved,damaged,653498,,,,,,0,0,,17799,2021-11-08T18:35:56Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.6,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.7,??]ṇụaḷe,)nuale!??]ṇụaḷe,Raetic,'of/by son of X',AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, medial",sinistroverse,North Italic script,Magrè alphabet,1,5,,,engraved,damaged,653499,,,,,,0,0,,17800,2021-11-08T18:36:14Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.7,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.8,?,?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, medial",unknown,unknown,,1,,,,engraved,damaged,653500,,,,,,0,0,,17801,2021-11-08T18:36:52Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.8,https://tir.univie.ac.at/wiki/AK-1_rock
AK-1.9,ạ?,unknown!ạ?,unknown,unknown,AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,"bottom, right",dextroverse,unknown,,1,,,,engraved,damaged,653501,,,,,,0,0,,17802,2021-11-08T18:37:05Z,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1.9,https://tir.univie.ac.at/wiki/AK-1_rock
AK-2.1,]ṿasẹ?,unknown!]ṿasẹ?,unknown,unknown,AK-2 rock,rock,stone,,,,Achenkirch,,in situ,"top, left",dextroverse,North Italic script,Magrè alphabet,1,4,,,engraved,damaged,653514,,,,,,0,0,,17815,2021-11-08T18:40:50Z,17495,2020-04-09T15:05:22Z,https://tir.univie.ac.at/wiki/AK-2.1,https://tir.univie.ac.at/wiki/AK-2_rock
AK-2.2,]???ạs·a,unknown!]???ạs·a,unknown,unknown,AK-2 rock,rock,stone,,,,Achenkirch,,in situ,"top, left",dextroverse,North Italic script,Magrè alphabet,1,6,,7,engraved,damaged,653515,,,,,,0,0,,17816,2021-11-08T18:41:02Z,17495,2020-04-09T15:05:22Z,https://tir.univie.ac.at/wiki/AK-2.2,https://tir.univie.ac.at/wiki/AK-2_rock
AK-2.3,?,?,unknown,unknown,AK-2 rock,rock,stone,,,,Achenkirch,,in situ,"top, left",unknown,unknown,,1,,,,engraved,damaged,653516,,,,,,0,0,,17817,2021-11-08T18:41:14Z,17495,2020-04-09T15:05:22Z,https://tir.univie.ac.at/wiki/AK-2.3,https://tir.univie.ac.at/wiki/AK-2_rock
AS-1,?,?,unknown,unknown,AS-1 potsherd,vessel,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,unknown,unknown,unknown,,0,,,,incised,unknown,218498,216,ROT-2,98,Schumacher 2004: 167,Orsi 1890: 293–294; PID: 30–31 (No. 216),0,0,,17818,2021-11-08T18:42:02Z,12319,2015-06-10T06:19:54Z,https://tir.univie.ac.at/wiki/AS-1,https://tir.univie.ac.at/wiki/AS-1_potsherd
AS-10,?,?,unknown,unknown,AS-10 potsherd,cup,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,Bostel,unknown,unknown,unknown,unknown,,0,,,,incised,unknown,218507,218 (viii),ROT-6,117,Schumacher 2004: 168,Pellegrini 1915: 121; PID: 32 (No. 218 viii),0,3,,17827,2021-11-08T18:44:28Z,12081,2015-05-11T09:03:28Z,https://tir.univie.ac.at/wiki/AS-10,https://tir.univie.ac.at/wiki/AS-10_potsherd
AS-11,?,?,unknown,unknown,AS-11 potsherd,vessel,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,Bostel,unknown,unknown,unknown,unknown,,0,,,,incised,unknown,218508,218 (ix),ROT-12,118,Schumacher 2004: 168,PID: 32 (No. 218 ix),0,3,,17828,2021-11-08T18:44:54Z,12082,2015-05-11T09:05:14Z,https://tir.univie.ac.at/wiki/AS-11,https://tir.univie.ac.at/wiki/AS-11_potsherd
AS-12,?,?,unknown,unknown,AS-12 needle,needle,bone,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,unknown,unknown,unknown,,0,,,,unknown,unknown,218509,219 (i),ROT-15,107,Schumacher 2004: 169,Orsi 1890: 293; PID: 32–33 (No. 219 i),0,0,,17829,2021-11-08T18:45:04Z,12318,2015-06-10T06:18:54Z,https://tir.univie.ac.at/wiki/AS-12,https://tir.univie.ac.at/wiki/AS-12_needle
AS-13,?,?,unknown,unknown,AS-13 needle,needle,bone,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,unknown,unknown,unknown,,0,,,,incised,unknown,218510,219 (ii),ROT-16,sub iudice nr. 7,Schumacher 2004: 169,Nalli 1895: 258 (No. 3); PID: 32–33 (No. 219 ii),0,0,,17830,2021-11-08T18:45:13Z,12084,2015-05-11T09:08:56Z,https://tir.univie.ac.at/wiki/AS-13,https://tir.univie.ac.at/wiki/AS-13_needle
AS-14,φeχe,φeχe,unknown,unknown,AS-14 potsherd,pot,pottery,,,archaeological context,Piovene Rocchette,,unknown,unknown,sinistroverse,North Italic script,,1,,,,incised,unknown,218511,220,PIOV-1,97,Schumacher 2004: 169,"Pellegrini 1918: 192–193, fn 3, fig. C; PID: 33 [No. 220]",1,3,Zeichnung oder Foto?,17831,2021-11-08T18:45:26Z,15437,2016-03-15T12:56:18Z,https://tir.univie.ac.at/wiki/AS-14,https://tir.univie.ac.at/wiki/AS-14_potsherd
