title,type_morpheme,language,meaning,function,checklevel,revision_id,revision_timestamp,url
-ke,inflectional,"Raetic, Etruscan",,preterite active,5,17004,2017-02-09T22:05:04Z,https://tir.univie.ac.at/wiki/-ke
-l(a),inflectional,"Raetic, Etruscan",'of/for',genitive,1,17162,2018-09-18T11:00:39Z,https://tir.univie.ac.at/wiki/-l(a)
-le,inflectional,"Raetic, Etruscan",,pertinentive,1,17126,2017-02-13T21:09:28Z,https://tir.univie.ac.at/wiki/-le
-na,derivational,Raetic,,,3,17659,2020-04-16T13:09:48Z,https://tir.univie.ac.at/wiki/-na
-nu,derivational,Raetic,,,3,6294,2014-03-02T15:29:59Z,https://tir.univie.ac.at/wiki/-nu
-r(a),inflectional,"Raetic, Etruscan",,plural,1,17109,2017-02-11T22:47:54Z,https://tir.univie.ac.at/wiki/-r(a)
-s,inflectional,"Raetic, Etruscan",,ablative,1,17125,2017-02-13T21:09:19Z,https://tir.univie.ac.at/wiki/-s
-s(i),inflectional,"Raetic, Etruscan",'of/for',genitive,1,17161,2018-09-18T10:37:20Z,https://tir.univie.ac.at/wiki/-s(i)
-si,inflectional,"Raetic, Etruscan",,pertinentive,1,17124,2017-02-13T21:08:57Z,https://tir.univie.ac.at/wiki/-si
-u,derivational,"Raetic, Etruscan",,verbal noun,0,17013,2017-02-09T22:26:14Z,https://tir.univie.ac.at/wiki/-u
-Ø,inflectional,"Raetic, Etruscan",,casus rectus,0,17108,2017-02-11T22:46:46Z,https://tir.univie.ac.at/wiki/-%C3%98
