title,type_object,material,date,sortdate,date_derivation,site,field_name,location,inventory_number,dimension,condition,source,checklevel,revision_id,revision_timestamp,url
AK-1 rock,rock,stone,unknown,0,,Achenkirch,,in situ,,,damaged,,0,17734,2020-04-29T14:28:34Z,https://tir.univie.ac.at/wiki/AK-1_rock
AK-2 rock,rock,stone,,,,Achenkirch,,in situ,,,damaged,,0,17495,2020-04-09T15:05:22Z,https://tir.univie.ac.at/wiki/AK-2_rock
AS-1 potsherd,vessel,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,,,unknown,Orsi 1890: 293–294; PID: 30–31 (No. 216),0,12319,2015-06-10T06:19:54Z,https://tir.univie.ac.at/wiki/AS-1_potsherd
AS-10 potsherd,cup,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,Bostel,unknown,,,fragmentary,Pellegrini 1915: 121; PID: 32 (No. 218 viii),3,12081,2015-05-11T09:03:28Z,https://tir.univie.ac.at/wiki/AS-10_potsherd
AS-11 potsherd,vessel,pottery,4th–2nd centuries BC,-200,archaeological context,Rotzo,Bostel,unknown,,,fragmentary,PID: 32 (No. 218 ix),3,12082,2015-05-11T09:05:14Z,https://tir.univie.ac.at/wiki/AS-11_potsherd
AS-12 needle,needle,bone,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,,length 11 cm,unknown,Orsi 1890: 293; PID: 32–33 (No. 219 i),0,12318,2015-06-10T06:18:54Z,https://tir.univie.ac.at/wiki/AS-12_needle
AS-13 needle,needle,bone,4th–2nd centuries BC,-200,archaeological context,Rotzo,"Bostel,",unknown,,,unknown,Nalli 1895: 258 (No. 3); PID: 32–33 (No. 219 ii),0,12084,2015-05-11T09:08:56Z,https://tir.univie.ac.at/wiki/AS-13_needle
AS-14 potsherd,pot,pottery,,,archaeological context,Piovene Rocchette,,unknown,,,fragmentary,"Pellegrini 1918: 192–193, fn 3, fig. C; PID: 33 [No. 220]",3,15437,2016-03-15T12:56:18Z,https://tir.univie.ac.at/wiki/AS-14_potsherd
AS-15 beaker,beaker,pottery,end of the 4th–3rd centuries BC,-250,archaeological context,Rotzo,"Bostel,",Museo Archeologico dell'Altopiano dei Sette Comuni,361237,"height: 11.8 cm, diameter foot: 4.6 cm, diameter mouth: 11.5 cm","complete, restored, damaged","De Guio 2011: 176 et seq., fig. 10.3",0,14865,2016-01-21T14:26:57Z,https://tir.univie.ac.at/wiki/AS-15_beaker
AS-16 beaker,beaker,pottery,end of the 4th-3rd centuries BC,-250,archaeological context,Rotzo,"Bostel,",Museo Archeologico dell'Altopiano dei Sette Comuni,unknown,"height: ca. 11 cm, diameter foot: 6 cm, diameter mouth: 12.5 cm","complete, restored, damaged","De Guio 2011: 176 et seq., fig. 10.2",0,14864,2016-01-21T14:25:01Z,https://tir.univie.ac.at/wiki/AS-16_beaker
