title,type_word,language,lemma,number,case,gender,tense,analysis_morphemic,meaning,checklevel,revision_id,revision_timestamp,url
)armatan,unknown,unknown,,,,,,,unknown,0,13907,2015-10-05T16:27:49Z,https://tir.univie.ac.at/wiki/)armatan
)auþile,proper noun,Raetic,,,pertinentive,,,)auþi{{m|-le}},unknown,5,17068,2017-02-11T15:57:16Z,https://tir.univie.ac.at/wiki/)au%C3%BEile
)ke,verb,Raetic,,,,,past,?{{m|-ke}},'X-ed',0,16917,2016-11-24T16:14:40Z,https://tir.univie.ac.at/wiki/)ke
)le,noun,Raetic,,,pertinentive,,,?{{m|-le}},'by/of ?',0,17089,2017-02-11T16:13:10Z,https://tir.univie.ac.at/wiki/)le
)na,proper noun,Raetic,,,,,,{{m|-na}},'daughter of' (?),0,9843,2014-12-02T16:54:04Z,https://tir.univie.ac.at/wiki/)na
)nu,proper noun,Raetic,,,,,,{{m|-nu}},'son of',0,9842,2014-12-02T16:53:38Z,https://tir.univie.ac.at/wiki/)nu
)nuale,proper noun,Raetic,,singular,pertinentive,masculine,,?{{m|-nu}}{{m|-le|-ale}},'by/of son of ?',0,17102,2017-02-11T16:25:26Z,https://tir.univie.ac.at/wiki/)nuale
)s,noun,Raetic,,singular,genitive,,,?{{m|-s(i)|s}},'of ?',0,17056,2017-02-11T15:18:25Z,https://tir.univie.ac.at/wiki/)s
)si,noun,Raetic,,,pertinentive,,,?{{m|-si}},'by/of ?',0,8764,2014-08-12T14:36:00Z,https://tir.univie.ac.at/wiki/)si
-ka,conjunction,Raetic,,,,,,,'and',0,12943,2015-07-16T15:07:02Z,https://tir.univie.ac.at/wiki/-ka
asua,proper noun,Raetic,asua*,singular,genitive,,,,unknown,0,16783,2016-08-22T16:21:30Z,https://tir.univie.ac.at/wiki/asua
avaśuerasi,noun,Raetic,avaśu(e)-,plural,pertinentive,animate,,avaśue{{m|-r(a)}}{{m|-si}},'by/for the Avaśu*',0,16996,2017-02-09T21:15:27Z,https://tir.univie.ac.at/wiki/ava%C5%9Buerasi
azile,proper noun,Raetic,azi-,singular,pertinentive,masculine,,azi{{m|-le}},unknown,2,17074,2017-02-11T15:59:49Z,https://tir.univie.ac.at/wiki/azile
aθare,unknown,unknown,,,,,,,unknown,0,13906,2015-10-05T16:23:02Z,https://tir.univie.ac.at/wiki/a%CE%B8are
aθivnuale,proper noun,Raetic,aθiv-,singular,pertinentive,masculine,,aθiv{{m|-nu}}{{m|-le|-ale}},'of/by the son of Aθiv- (Aθiu-)',1,17096,2017-02-11T16:18:47Z,https://tir.univie.ac.at/wiki/a%CE%B8ivnuale
aχvil,noun,Raetic,,singular,nominative,,,,'gift' (?),0,14025,2015-11-03T13:14:01Z,https://tir.univie.ac.at/wiki/a%CF%87vil
eluku,noun,Raetic,,,,,,elu{{m|-ke|-k}}{{m|-u}},'sacrificed',5,17001,2017-02-09T21:55:19Z,https://tir.univie.ac.at/wiki/eluku
enikes,proper noun,Raetic,enike-,singular,genitive,,,Enike{{m|-s(i)|-s}},'of Enike',0,17041,2017-02-11T14:26:42Z,https://tir.univie.ac.at/wiki/enikes
enθus,proper noun,Raetic,enθu*,singular,genitive,,,enθu{{m|-s(i)|-s}},'of (the community of) Enθu*',0,17037,2017-02-11T14:22:13Z,https://tir.univie.ac.at/wiki/en%CE%B8us
erikian,unknown,Raetic,,,,,,,unknown,1,14688,2016-01-12T12:49:41Z,https://tir.univie.ac.at/wiki/erikian
esimnesi,proper noun,Raetic,esimn-,singular,pertinentive,masculine,,esimne{{m|-si}},'of/by Esimne',0,17136,2017-02-21T23:03:57Z,https://tir.univie.ac.at/wiki/esimnesi
