entry_head,word_norm,col,line,flags
1X2?,sulsle,X,5,gamma
?,tuchlac,II,20,
?,tuchlac,III,19,
?,tuchlac,IV,15,
?,tuchlac,IX,7,
?,tuchlac,IX,19,
?,tuchlac,VI,2,
?,tuchlac,VI,4,
?,tuchlac,VII,17,
?,tuchlac,VII,23,
?,tuchlac,X,6,gamma
?,tuchlac,X,12,
?,tuchlac,X,13,
?,tuchlac,X,18,
?,tuchlac,XI,9,
?,tuchlac,XI,13,
?,tuchlac,XII,4,
?,tuchlac,XII,6,
?,tuchlac,XII,10,
?,tuchlac,XII,16,
?,tuchlac,XII,22,
?,tuchlec,II,20,
?,tuchlec,III,19,
?,tuchlec,IV,15,
?,tuchlec,IX,7,
?,tuchlec,IX,19,
?,tuchlec,VI,2,
?,tuchlec,VI,4,
?,tuchlec,VII,17,
?,tuchlec,VII,23,
?,tuchlec,X,6,gamma
?,tuchlec,X,12,
?,tuchlec,X,13,
?,tuchlec,X,18,
?,tuchlec,XI,9,
?,tuchlec,XI,13,
?,tuchlec,XII,4,
?,tuchlec,XII,6,
?,tuchlec,XII,10,
?,tuchlec,XII,16,
?,tuchlec,XII,22,
[r]evine,revine,VII,12,
[sp]ureri,spureri,VI,3,
[sp]ureri,spureri,VI,15,
[sp]ureri,ture,VI,3,
[sp]ureri,ture,VI,15,
cilϑcva,cilthcva,VII,18,
cilϑcval,cilthcval,VII,8,
cilϑl,cilthl,FN,4,fragm_nov
cilϑl,cilthl,IX,5,
cilϑl,cilthl,IX,12,
cilϑl,cilthl,IX,21,
cilϑl,cilthl,V,6,
cilϑl,cilthl,V,13,
cilϑl,cilthl,V,23,
cilϑl,cilthl,VII,18,
cilϑs,cilths,II,3,
cilϑs,cilths,IX,2,
cilϑs,cilths,IX,10,
cilϑs,cilths,V,3,
cilϑs,cilths,VIII,6,gamma
cilϑs,cilths,VIII,14,
cilϑs,cilths,XI,9,
cilϑçveti,cilthcveti,VII,14,
cisum,cisum,II,6,
cisum,cisum,II,20,
cisum,cisum,III,22,
cisum,cisum,IV,3,
cisum,cisum,IV,16,
cisum,cisum,IX,4,
cisum,cisum,V,5,
cisum,cisum,V,12,
cisum,cisum,V,21,
citral,citral,VIII,5,
citzz,citzz,V,17,
citzz,citzz,V,19,
cla,cla,V,23,
cla,cla,X,5,gamma
cle(vanϑ),clevanth,II,16,
cle(vanϑ),clevanth,VII,21,
cletram,cletram,II,10,
cletram,cletram,II,12,
cletram,cletram,III,13,
cletram,cletram,III,16,
cletram,cletram,IV,8,
cletram,cletram,IV,10,
cletram,cletram,IX,15,
cletram,cletram,V,8,
cluctras,cluctras,XII,13,
clucϑras,clucthras,VIII,9,
cn,cn,I,4,
cnl,cnl,X,7,
cnticnϑ,cnticnth,VII,19,
cntrant,cntrant,IV,13,
crapsti,crapsti,III,18,
crapsti,crapsti,IV,8,
crapsti,crapsti,IV,15,
crapsti,crapsti,IV,19,
crapsti,crapsti,VI,12,
cresverae,cresverae,V,16,
cs,cs,II,5,
cs,cs,II,9,
cs,cs,IV,5,
cs,cs,IV,17,
culscva,culscva,VIII,2,
ecn,ecn,IV,2,
ecn,ecn,IX,8,
ecn,ecn,V,2,
ei,ei,IV,13,
ei,ei,XI,16,
ei,tei,IV,13,
ei,tei,XI,16,
eim,eim,IV,12,
eim,eim,IX,16,
eim,eim,IX,17,
eim,eim,V,9,
eis,eis,X,10,
eiser,eiser,V,10,
eiser,eiser,V,14,
eiser,eiser,V,15,
eiseras,eiseras,V,20,
eisna,eisna,IV,22,
eisna,eisna,IX,2,gamma
eisna,eisna,VI,12,
eisna,eisna,XI,10,
eisna,eisna,XII,7,
elfaci,elfaci,X,13,
eluri,eluri,V,22,
enac,enac,X,4,gamma
enac,enac,XI,2,gamma
enac,enac,XI,4,gamma
enac,enac,XII,7,
enas,enas,II,4,
enas,enas,II,8,
enas,enas,III,21,
enas,enas,IV,6,
enas,enas,IV,19,
