text,source_id,city,date_from,date_to,translation,language,provenance,note
holaies : naφoθ : siasi,Lemnos A.1,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08","стела из Каминии, лицевая сторона, стандартное чтение"
maras : mav,Lemnos A.2,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
šialχveis : avis,Lemnos A.3,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
evišθo : seronaiθ,Lemnos A.4,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
sivai,Lemnos A.5,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
aker : tavarsio,Lemnos A.6,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
vanalašial : seronai : morinail,Lemnos A.7,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
holaiesi : φokiašiale : seronaiθ : evišθo : toverona,Lemnos B.1,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08","боковая сторона"
rom : haralio : sivai : eptesio : arai : tis : φoke,Lemnos B.2,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
sivai : avis : šialχvis : marasm : avis : aomai,Lemnos B.3,Lemnos,510,510,,lemn,"en.wikipedia.org/wiki/Lemnian_language, wikitext снят 2026-07-08",
