word,freq,pred_class,score,margin,second_class
venete,4,NAME-M,0.805503,0.719162,NAME-F
tites,2,NAME-M,0.805503,0.719162,NAME-F
purni,2,NAME-M,0.803488,0.700250,NAME-F
uhtave,2,NAME-M,0.771076,0.666655,VERB
fulu,2,NAME-M,0.749350,0.653174,VERB
tutnal,3,NAME-M,0.757822,0.644195,NAME-F
inpa,4,NAME-M,0.745407,0.642817,FUNC
cleniarc,2,NAME-M,0.754257,0.638466,VERB
var,8,VERB,0.746027,0.625114,NAME-M
papa,2,NAME-M,0.754514,0.623308,NAME-F
aneis,2,NAME-M,0.740192,0.621239,VERB
raxth,2,VERB,0.730797,0.621107,NAME-M
etera,3,NAME-M,0.736423,0.617549,NAME-F
thapicun,4,NAME-M,0.717360,0.616084,FUNC
rachth,11,VERB,0.728259,0.609645,NAME-M
celi,7,VERB,0.731873,0.609590,NAME-M
vecu,3,NAME-M,0.737813,0.609387,NAME-F
aclnal,2,NAME-M,0.710868,0.602812,NAME-F
sethrna,3,NAME-M,0.743161,0.600351,NAME-F
umrana,2,NAME-M,0.743021,0.599188,NAME-F
alfial,2,NAME-M,0.738556,0.596309,NAME-F
carta,2,NAME-M,0.738556,0.596309,NAME-F
urinate,2,NAME-M,0.723440,0.589558,VERB
larste,2,NAME-M,0.691728,0.587858,NAME-F
vetual,2,NAME-M,0.719454,0.586481,NAME-F
alf,2,NAME-M,0.721862,0.583032,NAME-F
carna,3,NAME-M,0.729995,0.579448,NAME-F
tlesna,3,NAME-M,0.720407,0.577440,NAME-F
hanusa,2,NAME-M,0.729538,0.575953,NAME-F
fraucni,2,NAME-M,0.704188,0.571494,NAME-F
vinum,19,VERB,0.701892,0.570629,NAME-M
sue,5,VERB,0.716979,0.570478,NAME-M
pulumchva,2,VERB,0.734021,0.569296,NAME-M
caini,7,NAME-M,0.691618,0.561136,NAME-F
larthial,4,NAME-M,0.681641,0.554434,NAME-F
larcna,3,NAME-M,0.698060,0.552586,NAME-F
alfa,4,NAME-M,0.691660,0.552097,NAME-F
sutanas,2,VERB,0.686997,0.546823,NAME-M
veti,5,NAME-M,0.690961,0.542132,NAME-F
tetina,9,NAME-M,0.691370,0.536870,NAME-F
laroi,4,NAME-M,0.692550,0.535445,NAME-F
cain,2,NAME-M,0.654346,0.533614,NAME-F
sethre,3,NAME-M,0.688474,0.530684,NAME-F
