word,freq,known_gloss,concept_en,concept_ru,domain,lang,form,sim,tier
acalactra,1,,knife,нож,tech,lat,culter,0.800,B
acalisni,1,mrs-fastimrs-calisnis,key,ключ,tech,grc,kleis,0.750,B
acalve,1,,key,ключ,tech,lat,clavis,0.750,B
achlesa,1,,key,ключ,tech,grc,kleis,1.000,B
achmemurun,1,agamemnon,cumin,тмин,plantfood,heb,kammon,0.800,A
achnus,1,,dog,собака,animal,lat,canis,1.000,B
achrati,1,,letter-missive,письмо,tech,akk,egertu?,1.000,A
achratinialisa,1,,cauldron,котёл,vessel,lat,cortina?,0.800,B
achrum,1,acheron,copper,медь,trade,lat,cuprum,0.750,B
achunial,2,,belt,пояс,cloth,lat,cingulum,0.750,B
achuvitr,1,oneofthedivineloves,knife,нож,tech,lat,culter,0.750,B
aciles,2,theheroakhilleus,key,ключ,tech,grc,kleis,1.000,B
acilth,3,"), (true, ",knife,нож,tech,lat,culter,0.750,B
acilusa,1,,key,ключ,tech,grc,kleis,1.000,B
aclchn,2,,cup,чаша,vessel,lat,calix,0.750,A
aclineial,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
aclinies,1,ms-avlimr-acliniesslavegirl,cloak,плащ,cloth,grc,chlaina,1.000,B
aclnal,2,,cloak,плащ,cloth,grc,chlaina,1.000,B
aclnig,1,,cup,чаша,vessel,lat,calix,0.750,A
aclnis,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
acnaice,1,made,five,пять,measure,lat,quinque,1.000,B
acnaicesa,1,,five,пять,measure,lat,quinque,1.000,B
acnaine,1,,basket,корзина,vessel,grc,kaneon,1.000,B
acnanas,2,having given birth to,basket,корзина,vessel,grc,kaneon,1.000,B
acnanasa,3,having produced,basket,корзина,vessel,grc,kaneon,1.000,B
acnatna,1,,jug,кувшин,vessel,grc,kothon,0.750,B
acnesem,1,,dog,собака,animal,lat,canis,1.000,B
acpluisa,1,mrs-acupluis-daughtershusband--,head,голова,body,grc,kephale,1.000,B
acrialsm,1,,pig,свинья,animal,grc,choiros,0.750,B
acries,1,,pig,свинья,animal,grc,choiros,1.000,B
acvezthi,1,,box-chest,ларь,household,lat,cista,0.750,B
acvilnas,1,,cloak,плащ,cloth,grc,chlaina,0.750,B
aczt,1,,box-chest,ларь,household,lat,cista,1.000,B
aercet,1,,bear,медведь,animal,grc,arktos,0.750,B
afates,1,of-mr-afate,jar,сосуд-пифос,vessel,grc,pithos,1.000,B
afatrunie,1,,mirror,зеркало,adorn,grc,esoptron,0.800,B
afilias,1,mr-afiliasdaughters,cat,кот,animal,lat,feles,1.000,B
aflial,1,mr-larthiamrs-aflismrs-arznis-daughters-,fuller,сукновал,craft,lat,fullo,1.000,B
afnas,1,,oven,печь,tech,grc,ipnos,1.000,A
afrfes,1,,fibula-pin,фибула,adorn,grc,porpe,1.000,B
afunas,2,,oven,печь,tech,grc,ipnos,1.000,A
afunes,1,,oven,печь,tech,grc,ipnos,1.000,A
afvuies,1,mr-afvuies,small,малый,quality,lat,parvus,0.750,B
ahatrunie,1,,plow,плуг,tech,grc,arotron,0.750,B
aiclan,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
aipraupz,1,ms-aulimr-praupes,purple dye,пурпур,trade,lat,purpura,0.750,A
aisecetati,1,,arrow,стрела,tech,lat,sagitta,1.000,B
aiseras,3,,iron,железо,trade,grc,sideros,0.750,B
aisiufimiu,1,,seven,семь,measure,lat,septem,0.750,B
aisiuthrice,1,,iron,железо,trade,grc,sideros,0.750,B
akrathe,1,,letter-missive,письмо,tech,akk,egertu?,1.000,A
alapusa,1,,ivory,слоновая кость,trade,grc,elephas,1.000,B
alcestei,1,alcestis,word,слово,social,grc,logos,0.750,B
alcilnia,1,,lamp,светильник,tech,lat,lucerna,0.750,B
alethnas,8,alethnas,incense,благовоние,trade,grc,libanos,0.750,B
aleths,1,,stone,камень,geo,grc,lithos,1.000,B
alfnal,3,mrs-alfnis-daughters-husband,incense,благовоние,trade,grc,libanos,0.750,B
alfnial,1,mrs-alfnis,incense,благовоние,trade,grc,libanos,0.750,B
alfniesa,1,,incense,благовоние,trade,grc,libanos,1.000,B
alixentrom,1,,amber,янтарь,trade,lat,electrum,0.833,B
almina,1,mr-almina,harbor,гавань,social,grc,limen,1.000,B
almni,1,,harbor,гавань,social,grc,limen,1.000,B
alnias,1,,incense,благовоние,trade,grc,libanos,0.750,B
alpan,10,thank offering,incense,благовоние,trade,grc,libanos,0.750,B
alpanteceii,1,quite-willinglyhe-did-devotetwo,elephant,слон,animal,lat,elephantus,0.800,B
alpanu,1,theinvisibleguardianangelpersonifyingabr,incense,благовоние,trade,grc,libanos,0.750,B
alpnas,1,,incense,благовоние,trade,grc,libanos,1.000,B
alpnu,2,thegoddessharmony,incense,благовоние,trade,grc,libanos,0.750,B
alpuialisa,1,,ivory,слоновая кость,trade,grc,elephas,0.750,B
alpzen,1,,ivory,слоновая кость,trade,grc,elephas,0.750,B
alsaianasi,1,,incense,благовоние,trade,grc,libanos,0.750,B
alsase,1,,bee,пчела,animal,grc,melissa,0.750,B
alses,1,thegodalsesofthesacredgroveontheelysiani,bee,пчела,animal,grc,melissa,0.750,B
alsinas,2,of-mr-alsina,incense,благовоние,trade,grc,libanos,0.750,B
alternei,1,the-gods-of-the-cropperone-,amber,янтарь,trade,grc,elektron,0.800,B
althras,1,,brick,кирпич,tech,lat,later,1.000,B
althrasa,1,,brick,кирпич,tech,lat,later,1.000,B
althrnas,2,althrnas,chair-throne,кресло-трон,household,grc,thronos,0.800,B
alufneialisa,1,mrs-alufneis-daughtershusband,incense,благовоние,trade,grc,libanos,0.800,B
amcenas,1,emataieoariiiiiiasestasamcenas,big,большой,quality,lat,magnus,1.000,B
amfare,1,,amphora,амфора,vessel,lat,amphora,1.000,B
amfiare,2,amphiaraos,amphora,амфора,vessel,lat,amphora,1.000,B
amfnia,1,,vineyard,виноградник,geo,grc,ampelon,0.750,B
aminth,1,theboygodamorgodoflove,mint,мята,plantfood,grc,minthe,1.000,B
amrthi,1,,husband,муж,kinship,lat,maritus,0.750,B
amthnes,1,,measure-unit,мера,tech,grc,metron,0.750,B
amthni,1,,measure-unit,мера,tech,grc,metron,0.750,B
