fw_position,fw_key,herbig_col,herbig_line,fw_word,herbig_word,kind
44,92.44,III,15,vacl,vacl,exact
44,92.44,III,15,thezi,,fw_only
44,92.44,III,15,an,,fw_only
44,92.44,III,15,in,,fw_only
44,92.44,III,15,,peisin,herbig_only
44,92.44,III,15,,piseth,herbig_only
44,92.44,III,15,,sacnicn,herbig_only
44,92.44,III,15,,zusle,herbig_only
45,92.45,III,16,cletram,cletram,exact
45,92.45,III,16,vacl,vacl,exact
45,92.45,III,16,srenchve,,fw_only
45,92.45,III,16,in,,fw_only
45,92.45,III,16,scanin,,fw_only
45,92.45,III,16,cealch,,fw_only
45,92.45,III,16,,sacnicn,herbig_only
45,92.45,III,16,,zusle,herbig_only
46,92.46,III,17,nunthene,nunthene,exact
46,92.46,III,17,nachve,nachve,exact
46,92.46,III,17,ara,,fw_only
46,92.46,III,17,sasas,,fw_only
46,92.46,III,17,hetum,,fw_only
46,92.46,III,17,ale,,fw_only
46,92.46,III,17,,sacnicn,herbig_only
46,92.46,III,17,,zusle,herbig_only
47,92.47,III,18,vinum,vinum,exact
47,92.47,III,18,usi,usi,exact
47,92.47,III,18,crapst,crapsti,soft
47,92.47,III,18,trinum,,fw_only
47,92.47,III,18,flere,,fw_only
47,92.47,III,18,in,,fw_only
47,92.47,III,18,,zusle,herbig_only
49,92.49,III,20,vinum,vinum,exact
49,92.49,III,20,esis,esis,exact
49,92.49,III,20,esera,esera,exact
49,92.49,III,20,huslne,zusle,disagree
49,92.49,III,20,muera,nuera,disagree
49,92.49,III,20,cuse,,fw_only
50,92.50,III,21,enas,enas,exact
50,92.50,III,21,ethrse,ethrse,exact
50,92.50,III,21,fasei,,fw_only
50,92.50,III,21,spurestres,,fw_only
50,92.50,III,21,ns,,fw_only
50,92.50,III,21,,sacnicn,herbig_only
51,92.51,III,22,chis,chis,exact
51,92.51,III,22,cisum,cisum,exact
51,92.51,III,22,pute,pute,exact
51,92.51,III,22,tiurim,,fw_only
51,92.51,III,22,avils,,fw_only
51,92.51,III,22,tul,,fw_only
51,92.51,III,22,thans,,fw_only
52,92.52,III,23,repinec,repinec,exact
52,92.52,III,23,hantec,,fw_only
52,92.52,III,23,spureri,,fw_only
52,92.52,III,23,meslumeri,,fw_only
52,92.52,III,23,,sacnicn,herbig_only
52,92.52,III,23,,zusle,herbig_only
56,92.56,IV,2,ethrse,ethrse,exact
56,92.56,IV,2,chis,chis,exact
56,92.56,IV,2,ecn,ecn,exact
56,92.56,IV,2,tinsi,,fw_only
56,92.56,IV,2,tiurim,,fw_only
56,92.56,IV,2,avils,,fw_only
56,92.56,IV,2,zer,,fw_only
57,92.57,IV,3,zec,zec,exact
57,92.57,IV,3,cisum,cisum,exact
57,92.57,IV,3,pute,pute,exact
57,92.57,IV,3,inc,,fw_only
57,92.57,IV,3,fler,,fw_only
57,92.57,IV,3,sezince,,fw_only
57,92.57,IV,3,tu,,fw_only
57,92.57,IV,3,sans,,fw_only
57,92.57,IV,3,,zusle,herbig_only
58,92.58,IV,4,repinec,repinec,exact
58,92.58,IV,4,meleri,meleri,exact
58,92.58,IV,4,hatec,,fw_only
58,92.58,IV,4,sveleric,,fw_only
58,92.58,IV,4,svec,,fw_only
58,92.58,IV,4,,sacnicn,herbig_only
58,92.58,IV,4,,zusle,herbig_only
59,92.59,IV,5,cs,cs,exact
59,92.59,IV,5,mele,mele,exact
59,92.59,IV,5,mutince,mutince,exact
59,92.59,IV,5,ruze,ruxe,disagree
59,92.59,IV,5,sun,,fw_only
59,92.59,IV,5,thezine,,fw_only
59,92.59,IV,5,,zusle,herbig_only
60,92.60,IV,6,nuzlchne,nuzlchne,exact
60,92.60,IV,6,methlumeric,methlumeric,exact
60,92.60,IV,6,enas,enas,exact
60,92.60,IV,6,spureri,,fw_only
60,92.60,IV,6,,sacnicn,herbig_only
62,92.62,IV,8,cletram,cletram,exact
62,92.62,IV,8,crapst,crapsti,soft
62,92.62,IV,8,farfan,,fw_only
62,92.62,IV,8,flleres,,fw_only
62,92.62,IV,8,in,,fw_only
62,92.62,IV,8,,zusle,herbig_only
63,92.63,IV,9,rachth,rachth,exact
63,92.63,IV,9,vinum,vinum,exact
63,92.63,IV,9,srenchve,,fw_only
63,92.63,IV,9,tura,,fw_only
63,92.63,IV,9,hechsth,,fw_only
63,92.63,IV,9,,sacnicn,herbig_only
63,92.63,IV,9,,zusle,herbig_only
64,92.64,IV,10,cletram,cletram,exact
64,92.64,IV,10,rachth,rachth,exact
64,92.64,IV,10,nunsen,,fw_only
64,92.64,IV,10,srenchve,,fw_only
64,92.64,IV,10,suth,,fw_only
64,92.64,IV,10,,sacnicn,herbig_only
71,92.71,IV,17,meleri,meleri,exact
71,92.71,IV,17,mele,mele,exact
71,92.71,IV,17,an,cs,disagree
71,92.71,IV,17,sveleric,,fw_only
71,92.71,IV,17,svec,,fw_only
71,92.71,IV,17,cfi,,fw_only
71,92.71,IV,17,sun,,fw_only
71,92.71,IV,17,,sacnicn,herbig_only
71,92.71,IV,17,,zusle,herbig_only
72,92.72,IV,18,mutince,mutince,exact
72,92.72,IV,18,ruze,ruxe,disagree
72,92.72,IV,18,luzlchnec,nuzlchne,disagree
72,92.72,IV,18,sezine,,fw_only
72,92.72,IV,18,spurer,,fw_only
72,92.72,IV,18,,sacnicn,herbig_only
72,92.72,IV,18,,zusle,herbig_only
74,92.74,IV,20,chis,chis,exact
74,92.74,IV,20,esvisc,esvisc,exact
74,92.74,IV,20,fase,,fw_only
74,92.74,IV,20,sin,,fw_only
74,92.74,IV,20,aiser,,fw_only
74,92.74,IV,20,fase,,fw_only
74,92.74,IV,20,si,,fw_only
108,93.108,VI,5,etnam,etnam,exact
108,93.108,VI,5,laeti,,fw_only
108,93.108,VI,5,anc,,fw_only
108,93.108,VI,5,thachs,,fw_only
108,93.108,VI,5,,zusle,herbig_only
110,93.110,VI,7,etnam,etnam,exact
110,93.110,VI,7,velthinal,velthinal,exact
110,93.110,VI,7,etnam,,fw_only
110,93.110,VI,7,aisunal,,fw_only
110,93.110,VI,7,funchers,,fw_only
110,93.110,VI,7,,zusle,herbig_only
111,93.111,VI,8,sacnicla,sacnicla,exact
111,93.111,VI,8,in,,fw_only
111,93.111,VI,8,,zusle,herbig_only
112,93.112,VI,9,zathrumsne,zathrumsne,exact
112,93.112,VI,9,lusas,lusas,exact
112,93.112,VI,9,fler,,fw_only
112,93.112,VI,9,thezeri,,fw_only
112,93.112,VI,9,,zusle,herbig_only
113,93.113,VI,10,lustres,lustres,exact
113,93.113,VI,10,vacltnam,vacltnam,exact
113,93.113,VI,10,laivisca,,fw_only
113,93.113,VI,10,fler,,fw_only
115,93.115,VI,12,etnam,etnam,exact
115,93.115,VI,12,eisna,eisna,exact
115,93.115,VI,12,crapsti,crapsti,exact
115,93.115,VI,12,in,,fw_only
115,93.115,VI,12,fleres,,fw_only
115,93.115,VI,12,,zusle,herbig_only
118,93.118,VI,15,luthti,luthti,exact
118,93.118,VI,15,rach,rach,exact
118,93.118,VI,15,ture,ture,exact
118,93.118,VI,15,acil,,fw_only
118,93.118,VI,15,catica,,fw_only
118,93.118,VI,15,thluth,,fw_only
118,93.118,VI,15,ceithim,,fw_only
118,93.118,VI,15,,spureri,herbig_only
118,93.118,VI,15,,zusle,herbig_only
119,93.119,VI,16,chim,chim,exact
119,93.119,VI,16,painiem,painiem,exact
119,93.119,VI,16,scuchie,,fw_only
119,93.119,VI,16,acil,,fw_only
119,93.119,VI,16,hupnis,,fw_only
119,93.119,VI,16,,sacnicn,herbig_only
119,93.119,VI,16,,zusle,herbig_only
120,93.120,VI,17,martith,martith,exact
120,93.120,VI,17,anc,,fw_only
120,93.120,VI,17,sulal,,fw_only
120,93.120,VI,17,,sacnicn,herbig_only
125,93.125,VII,2,etnam,etnam,exact
125,93.125,VII,2,vacl,vacl,exact
125,93.125,VII,2,velthre,velthre,exact
125,93.125,VII,2,ceia,celi,disagree
125,93.125,VII,2,hia,,fw_only
125,93.125,VII,2,ciz,,fw_only
125,93.125,VII,2,trin,,fw_only
125,93.125,VII,2,,celipen,herbig_only
125,93.125,VII,2,,pen,herbig_only
125,93.125,VII,2,,zusle,herbig_only
126,93.126,VII,3,male,male,exact
126,93.126,VII,3,etnam,etnam,exact
126,93.126,VII,3,vacl,vacl,exact
126,93.126,VII,3,ceia,celi,disagree
126,93.126,VII,3,hia,,fw_only
126,93.126,VII,3,ciz,,fw_only
126,93.126,VII,3,aisval,,fw_only
126,93.126,VII,3,,celipen,herbig_only
126,93.126,VII,3,,pen,herbig_only
126,93.126,VII,3,,zusle,herbig_only
127,93.127,VII,4,male,male,exact
127,93.127,VII,4,etnam,etnam,exact
127,93.127,VII,4,ceia,celi,disagree
127,93.127,VII,4,hia,,fw_only
127,93.127,VII,4,trinth,,fw_only
127,93.127,VII,4,ciz,,fw_only
127,93.127,VII,4,ale,,fw_only
127,93.127,VII,4,,celipen,herbig_only
127,93.127,VII,4,,pen,herbig_only
127,93.127,VII,4,,zusle,herbig_only
128,93.128,VII,5,male,male,exact
128,93.128,VII,5,etnam,etnam,exact
128,93.128,VII,5,vacl,vacl,exact
128,93.128,VII,5,vile,vile,exact
128,93.128,VII,5,vale,vale,exact
128,93.128,VII,5,ceia,celi,disagree
128,93.128,VII,5,hia,,fw_only
128,93.128,VII,5,ciz,,fw_only
128,93.128,VII,5,,celipen,herbig_only
128,93.128,VII,5,,pen,herbig_only
128,93.128,VII,5,,zusle,herbig_only
129,93.129,VII,6,sacnit,sacnicn,disagree
129,93.129,VII,6,staile,,fw_only
129,93.129,VII,6,itrile,,fw_only
129,93.129,VII,6,hia,,fw_only
129,93.129,VII,6,ciz,,fw_only
129,93.129,VII,6,trinthasa,,fw_only
129,93.129,VII,6,,celi,herbig_only
129,93.129,VII,6,,celipen,herbig_only
129,93.129,VII,6,,pen,herbig_only
129,93.129,VII,6,,zusle,herbig_only
131,93.131,VII,8,vachr,vachr,exact
131,93.131,VII,8,celi,celi,exact
131,93.131,VII,8,cilthcval,cilthcval,exact
131,93.131,VII,8,cepen,celipen,disagree
131,93.131,VII,8,svem,,fw_only
131,93.131,VII,8,tutin,,fw_only
131,93.131,VII,8,,pen,herbig_only
132,93.132,VII,9,etnam,etnam,exact
132,93.132,VII,9,reuchzua,renchzua,disagree
