suffix,dl_gain_bits,n_types_train,in_ref
s,6005.29,331,1
al,5095.46,181,1
sa,4080.17,105,1
ial,2702.18,213,1
i,2197.16,292,1
a,2391.21,224,1
e,1786.90,268,1
as,1687.22,100,0
ies,1123.44,81,0
u,869.94,44,1
ei,871.78,38,0
c,719.53,30,0
na,850.31,134,1
nas,745.95,141,0
l,652.23,28,1
us,715.38,87,0
es,609.73,114,0
lisa,693.23,70,0
nial,597.99,73,0
is,430.52,61,0
ia,488.02,83,0
th,472.92,51,0
iesa,464.06,20,0
eial,439.14,35,0
nei,372.22,44,0
um,300.76,22,0
asi,299.29,23,0
ce,314.09,58,1
sla,269.67,14,0
si,261.39,41,1
thi,287.29,31,1
ias,309.58,26,0
esa,312.33,38,0
n,242.72,12,0
le,288.19,55,0
r,228.63,15,0
unia,192.20,11,0
isa,190.62,18,1
ti,228.51,38,0
la,166.06,28,0
ac,169.97,16,0
h,164.53,8,0
ri,230.64,28,1
z,151.90,7,0
asa,170.49,39,0
iu,162.14,18,0
nias,144.16,15,0
an,145.56,22,0
ne,229.78,37,0
usa,123.65,19,0
ta,199.25,27,0
nal,282.12,45,0
v,111.83,5,0
t,111.79,6,0
ke,108.96,5,1
p,106.61,4,0
va,105.53,6,0
thas,182.81,9,0
un,100.85,23,0
ra,125.99,25,0
