word_a,word_b,n_contexts,positions,label_a,label_b
ar,la,2,0 2,,
achuni,tite,1,1,,NAME-M
ae,ltth,1,0,,
ar,vel,1,0,,NAME-M
arathiale,arnthusi,1,2,NAME-M,
arathiale,velchainasi,1,2,NAME-M,NAME-M
ariodantes,succursale,1,2,,
arnth,velia,1,0,NAME-M,NAME-F
arnthial,arnties,1,2,NAME-M,
arnthial,carpnatial,1,2,NAME-M,
arnthial,ramthas,1,2,NAME-M,NAME-F
arnthusi,velchainasi,1,2,,NAME-M
as,ath,1,2,,NAME-M
athnusa,rafis,1,2,,
aul,titial,1,2,,NAME-F
aule,vel,1,0,NAME-M,NAME-M
aules,hele,1,2,NAME-M,
aules,setre,1,2,NAME-M,
caial,felmu,1,1,,
calisnas,suthi,1,1,,
caprasial,menznal,1,2,,
caspri,percumsnei,1,0,,
caule,percumsna,1,1,,
clanti,cracias,1,2,,
cretlu,larthal,1,2,,NAME-M
crutlunias,marias,1,2,,
cupslneial,vipinei,1,1,,
fanunias,hanunia,1,1,,NAME-F
feleskenas,velthies,1,2,NAME-M,NAME-M
ferinie,maricane,1,1,,
ferinie,rafe,1,1,,
ferinie,velsial,1,1,,
ferinie,vipial,1,1,,
fipineial,pulfneial,1,1,,
flavienas,lapanas,1,2,NAME-M,NAME-M
hekuntenas,sithurnas,1,2,,NAME-M
hirminaia,vheisalnaia,1,2,NAME-F,NAME-F
lari,leprecnal,1,3,,
larices,nuzinas,1,2,NAME-M,
latinial,seiantial,1,2,,
latithial,vipial,1,3,,
letial,velua,1,2,,
maricane,rafe,1,1,,
maricane,velsial,1,1,,
maricane,vipial,1,1,,
prumathnialisa,thelazu,1,1,,
pumpusa,thuricial,1,2,,
rafe,velsial,1,1,,
rafe,vipial,1,1,,
sanis,vatinia,1,2,,
sceftl,velthurna,1,1,,
se,vel,1,0,,NAME-M
tarinas,tarnas,1,2,,
vel,vl,1,0,NAME-M,
velsial,vipial,1,1,,
vetus,vetusa,1,2,NAME-M,
