suffix,k,n_types,support,expected,p,p_adj
c,1,147,65,27.45,5.225e-13,7.680e-11
cu,2,22,13,5.63,8.779e-04,1.290e-01
za,2,29,15,7.43,2.258e-03,3.319e-01
ta,2,43,20,11.01,2.368e-03,3.482e-01
t,1,56,19,10.46,4.661e-03,6.852e-01
u,1,296,73,55.26,5.220e-03,7.673e-01
z,1,35,13,6.53,7.809e-03,1.000e+00
iu,2,41,18,10.50,8.117e-03,1.000e+00
th,2,96,35,24.59,1.159e-02,1.000e+00
n,1,221,55,41.26,1.182e-02,1.000e+00
sna,3,30,16,9.66,1.311e-02,1.000e+00
p,1,30,11,5.60,1.551e-02,1.000e+00
pa,2,15,8,3.84,1.988e-02,1.000e+00
er,2,21,10,5.38,2.412e-02,1.000e+00
ns,2,28,12,7.17,3.477e-02,1.000e+00
nis,3,23,12,7.41,3.687e-02,1.000e+00
x,1,22,8,4.11,3.888e-02,1.000e+00
nth,3,16,9,5.15,4.015e-02,1.000e+00
fi,2,17,8,4.35,4.571e-02,1.000e+00
pi,2,20,9,5.12,4.691e-02,1.000e+00
um,2,30,12,7.68,5.924e-02,1.000e+00
ch,2,63,22,16.14,6.299e-02,1.000e+00
sc,2,21,9,5.38,6.400e-02,1.000e+00
nu,2,28,11,7.17,7.831e-02,1.000e+00
f,1,17,6,3.17,8.032e-02,1.000e+00
ru,2,22,9,5.63,8.456e-02,1.000e+00
li,2,22,9,5.63,8.456e-02,1.000e+00
v,1,34,10,6.35,8.692e-02,1.000e+00
