stem,n_occ,top_region,top_share,p,p_adj
ath,28,Cl,0.857,0.00010,0.00010
tetina,13,Cl,1.000,0.00010,0.00010
thania,44,Cl,0.886,0.00010,0.00010
tutna,14,Cl,1.000,0.00010,0.00010
velia,39,Cl,0.821,0.00020,0.00110
cai,11,Pe,1.000,0.00050,0.00390
vels,10,Cl,1.000,0.00110,0.01500
arnth,137,Cl,0.606,0.00220,0.03160
thana,46,Cl,0.696,0.00270,0.04100
tutne,8,Cl,1.000,0.00270,0.04100
lth,38,Cl,0.711,0.00320,0.05809
raf,7,Pe,1.000,0.00560,0.10389
seth,7,Pe,1.000,0.00610,0.12169
velsu,7,Po,1.000,0.00720,0.14999
fastia,13,Cl,0.846,0.00780,0.16938
seianti,6,Cl,1.000,0.01150,0.22908
ves,6,Pe,1.000,0.01300,0.29257
tarchna,6,Cr,1.000,0.01430,0.33557
lautni,17,Cl,0.765,0.01800,0.39096
veliza,5,Cl,1.000,0.02570,0.53385
pethna,5,Cl,1.000,0.02660,0.54585
casn,5,Pe,1.000,0.02760,0.59784
suthina,5,Vs,1.000,0.02760,0.59784
fel,5,Cl,1.000,0.02910,0.66323
larth,100,Cl,0.580,0.03070,0.67843
vipin,13,Cl,0.769,0.03350,0.69503
aule,31,Cl,0.645,0.04960,0.78292
velu,7,Ta,0.857,0.05149,0.81282
alethna,7,AT,0.857,0.05459,0.86231
pumpu,12,Cl,0.750,0.05899,0.88101
larthi,78,Cl,0.577,0.06169,0.89421
lautn,9,Cl,0.778,0.07329,0.92621
larza,6,Cl,0.833,0.09219,0.95580
hasti,6,Cl,0.833,0.09659,0.97330
herine,5,Cl,0.800,0.16648,0.99910
fania,5,Cl,0.800,0.17188,0.99970
tha,5,Cl,0.800,0.17178,0.99970
cae,14,Cl,0.643,0.17768,0.99980
ane,8,Cl,0.625,0.32957,1.00000
arnt,6,Cl,0.500,0.67833,1.00000
arnthial,7,Cl,0.714,0.20268,1.00000
arnza,9,Cl,0.667,0.23008,1.00000
cain,8,Cl,0.375,0.89261,1.00000
calisn,6,AT,0.333,0.96730,1.00000
lari,13,Cl,0.538,0.45355,1.00000
larisu,6,Cl,0.500,0.67573,1.00000
larthia,8,Cl,0.375,0.89101,1.00000
larthial,8,Pe,0.250,0.99750,1.00000
leth,7,Pe,0.714,0.20318,1.00000
petrui,5,Cl,0.400,0.91601,1.00000
ramtha,18,Ta,0.389,0.86211,1.00000
ravnthu,5,Ta,0.600,0.50495,1.00000
sethra,7,AT,0.286,0.99120,1.00000
sethre,12,Cl,0.333,0.94261,1.00000
tit,9,Cl,0.556,0.46475,1.00000
tite,19,Cl,0.526,0.44526,1.00000
titi,11,Cl,0.636,0.24768,1.00000
vel,65,Cl,0.523,0.29797,1.00000
velthur,25,Ta,0.480,0.59394,1.00000
vet,10,Pe,0.500,0.59154,1.00000
vipi,6,Pe,0.667,0.31977,1.00000
