word_folded,forms,freq_clean,sources,n_sources,n_artifact_clusters,already_present_in_etp_pos,pred_case,score_margin_nonprobabilistic,validation_precision_matched,validation_precision_95ci_low,validation_precision_95ci_high,validation_predicted_n_matched,tir_suffix_train_support_total,tir_suffix_train_support_pred_class,tir_suffix_train_class_counts,shared_raetic_suffix_feature
ale,ale,4,CIEW CIEW-CIE ETP SUPP:pyrgi_wikipedia.csv,4,4,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
nele,nele,2,CIEP ETP,2,2,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
ferkle,fercle ferkle,7,CIEP,1,7,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
menle,menle,5,CIEP,1,5,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
tule,tule,5,CIEW,1,1,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
akhele,achele,2,CIEP,1,2,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
esle,esle,2,CIEP,1,2,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
ferekele,ferecele,2,CIEP,1,2,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
mele,mele,2,CIEW,1,1,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
tuntle,tuntle,2,CIEP,1,2,False,PERT,2.811008,0.500000,0.187616,0.812384,6,15,14,NOM:1;PERT:14,2:le
tinsi,tinsi,11,CIEP CIEW,2,1,False,PERT,2.770086,0.500000,0.187616,0.812384,6,10,10,PERT:10,2:si
vuisi,vuisi,2,CIEW-CIE,1,2,False,PERT,2.770086,0.500000,0.187616,0.812384,6,10,10,PERT:10,2:si
spurestres,spurestres,9,CIEP CIEW,2,1,False,GEN,2.672332,0.938462,0.852178,0.975811,65,5,5,GEN:5,2:es
tites,tites,8,CIEP CIEW-CIE,2,8,False,GEN,2.672332,0.938462,0.852178,0.975811,65,5,5,GEN:5,2:es
saknikstres,sacnicstres,5,CIEP CIEW,2,1,False,GEN,2.672332,0.938462,0.852178,0.975811,65,5,5,GEN:5,2:es
laziveianes,laziveianes,4,CIEP CIEW-CIE,2,4,False,GEN,2.672332,0.938462,0.852178,0.975811,65,5,5,GEN:5,2:es
kailes,cailes kailes,3,CIEP ETP,2,3,False,GEN,2.672332,0.938462,0.852178,0.975811,65,5,5,GEN:5,2:es
