word,freq,pred_class,prob_raw,prob_cal,p_NAME-F,p_NAME-M,p_OTHER,p_THEO,p_VERB
aanth,1,OTHER,0.932,0.663,0.000,0.068,0.932,0.000,0.000
aca,1,OTHER,0.978,0.663,0.002,0.020,0.978,0.000,0.000
acap,1,OTHER,0.907,0.663,0.004,0.089,0.907,0.000,0.000
acarcelini,1,NAME-F,0.979,0.663,0.979,0.012,0.009,0.000,0.000
acarial,1,NAME-F,0.997,0.663,0.997,0.002,0.000,0.000,0.000
acev,1,OTHER,0.990,0.663,0.001,0.009,0.990,0.000,0.000
acevzfthiklmnpsrstufch,1,OTHER,0.998,0.663,0.000,0.000,0.998,0.002,0.000
acevzthikl,1,OTHER,0.971,0.663,0.025,0.004,0.971,0.000,0.000
achalu,1,OTHER,0.977,0.663,0.000,0.022,0.977,0.000,0.000
achleitruiestthesthufarce,1,OTHER,1.000,0.663,0.000,0.000,1.000,0.000,0.000
achmenrun,1,OTHER,1.000,0.663,0.000,0.000,1.000,0.000,0.000
achratinialisa,1,NAME-F,0.976,0.663,0.976,0.023,0.000,0.000,0.000
achrum,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
achuias,1,NAME-M,0.971,0.663,0.000,0.971,0.028,0.000,0.000
achuis,1,OTHER,0.911,0.663,0.002,0.088,0.911,0.000,0.000
achunial,2,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
aclineial,1,NAME-F,1.000,0.663,1.000,0.000,0.000,0.000,0.000
acnaicesa,1,NAME-M,0.949,0.663,0.045,0.949,0.006,0.000,0.000
acnaine,1,OTHER,0.908,0.663,0.006,0.085,0.908,0.000,0.000
acnanas,2,NAME-M,0.969,0.663,0.000,0.969,0.031,0.000,0.000
acnanasa,3,NAME-M,0.963,0.663,0.025,0.963,0.012,0.000,0.000
acnatrualc,1,OTHER,0.912,0.663,0.039,0.049,0.912,0.000,0.000
acrialsm,1,OTHER,0.943,0.663,0.054,0.003,0.943,0.000,0.000
acsial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
acuch,1,OTHER,0.998,0.663,0.000,0.002,0.998,0.000,0.000
aczt,1,OTHER,0.972,0.663,0.003,0.025,0.972,0.000,0.000
aeiu,1,OTHER,0.902,0.663,0.000,0.098,0.902,0.000,0.000
aesa,1,NAME-M,0.980,0.663,0.001,0.980,0.019,0.000,0.000
aeser,1,OTHER,0.979,0.663,0.000,0.021,0.979,0.000,0.000
aeu,1,OTHER,0.980,0.663,0.000,0.019,0.980,0.000,0.000
aevzfithiklmnpsrstufchf,1,OTHER,0.992,0.663,0.000,0.000,0.992,0.008,0.000
afatrunie,1,NAME-M,0.920,0.663,0.000,0.920,0.080,0.000,0.000
afie,1,NAME-M,0.949,0.663,0.000,0.949,0.051,0.000,0.000
afnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
afuna,3,NAME-M,0.990,0.663,0.000,0.990,0.009,0.000,0.000
afunas,1,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
afuneial,1,NAME-F,0.964,0.663,0.964,0.036,0.000,0.000,0.000
afunes,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
ainal,1,NAME-F,0.985,0.663,0.985,0.015,0.000,0.000,0.000
ainial,1,NAME-F,0.993,0.663,0.993,0.007,0.000,0.000,0.000
ainias,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
aisecetati,1,NAME-F,0.937,0.663,0.937,0.039,0.024,0.000,0.000
aiseras,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
aithas,1,NAME-M,0.927,0.663,0.000,0.927,0.073,0.000,0.000
aitnepethi,1,NAME-F,0.995,0.663,0.995,0.005,0.000,0.000,0.000
akrathe,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
alfial,1,NAME-F,0.984,0.663,0.984,0.015,0.000,0.000,0.000
aliethi,1,NAME-F,0.957,0.663,0.957,0.033,0.010,0.000,0.000
alixentrom,1,OTHER,0.995,0.663,0.005,0.000,0.995,0.000,0.000
almni,1,NAME-F,0.926,0.663,0.926,0.049,0.025,0.000,0.000
alnei,1,NAME-F,0.999,0.663,0.999,0.000,0.001,0.000,0.000
alnias,1,NAME-M,0.997,0.663,0.002,0.997,0.001,0.000,0.000
alpa,1,OTHER,0.952,0.663,0.008,0.040,0.952,0.000,0.000
alpiuial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
alpnas,1,NAME-M,0.992,0.663,0.000,0.992,0.008,0.000,0.000
alpuialisa,1,NAME-F,0.911,0.663,0.911,0.089,0.000,0.000,0.000
alsinei,1,NAME-F,1.000,0.663,1.000,0.000,0.000,0.000,0.000
althras,1,NAME-M,0.988,0.663,0.000,0.988,0.011,0.000,0.000
althrasa,1,NAME-M,0.971,0.663,0.028,0.971,0.001,0.000,0.000
althrnas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
aluniial,1,NAME-F,0.991,0.663,0.991,0.009,0.000,0.000,0.000
ame,5,OTHER,0.939,0.663,0.000,0.061,0.939,0.000,0.000
amfare,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
amnei,1,NAME-F,0.972,0.663,0.972,0.015,0.014,0.000,0.000
amthnial,2,NAME-F,0.980,0.663,0.980,0.020,0.000,0.000,0.000
anainial,2,NAME-F,0.992,0.663,0.992,0.008,0.000,0.000,0.000
anasa,1,NAME-M,0.987,0.663,0.013,0.987,0.000,0.000,0.000
anasis,1,NAME-M,0.997,0.663,0.001,0.997,0.003,0.000,0.000
anasnies,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
ancarial,4,NAME-F,0.976,0.663,0.976,0.024,0.000,0.000,0.000
ancarialisa,2,NAME-F,0.955,0.663,0.955,0.045,0.000,0.000,0.000
ancarias,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ancarna,1,NAME-M,0.969,0.663,0.027,0.969,0.003,0.000,0.000
ancinies,2,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
ane,2,NAME-M,0.959,0.663,0.002,0.959,0.040,0.000,0.000
aneies,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
aneina,1,NAME-M,0.939,0.663,0.009,0.939,0.053,0.000,0.000
aneinal,1,NAME-F,0.993,0.663,0.993,0.007,0.000,0.000,0.000
aneineialisa,1,NAME-F,0.982,0.663,0.982,0.018,0.000,0.000,0.000
aneinial,1,NAME-F,0.999,0.663,0.999,0.001,0.000,0.000,0.000
anes,2,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
anetnial,1,NAME-F,0.994,0.663,0.994,0.006,0.000,0.000,0.000
anfe,1,OTHER,0.953,0.663,0.001,0.046,0.953,0.000,0.000
anial,1,NAME-F,0.981,0.663,0.981,0.018,0.000,0.000,0.000
anie,2,NAME-M,0.966,0.663,0.000,0.966,0.034,0.000,0.000
aniesa,3,NAME-M,0.999,0.663,0.001,0.999,0.000,0.000,0.000
aninal,1,NAME-F,0.953,0.663,0.953,0.046,0.000,0.000,0.000
aninei,1,NAME-F,0.994,0.663,0.994,0.005,0.000,0.000,0.000
aniusa,1,NAME-M,0.984,0.663,0.016,0.984,0.000,0.000,0.000
ankvenesankariateveiiae,1,NAME-M,0.957,0.663,0.001,0.957,0.042,0.000,0.000
ansinas,1,NAME-M,0.988,0.663,0.000,0.988,0.012,0.000,0.000
antinal,1,NAME-F,0.984,0.663,0.984,0.016,0.000,0.000,0.000
apalus,2,NAME-M,0.961,0.663,0.000,0.961,0.039,0.000,0.000
apanes,1,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
apatrui,1,OTHER,0.941,0.663,0.041,0.018,0.941,0.000,0.000
apcus,1,NAME-M,0.977,0.663,0.000,0.977,0.023,0.000,0.000
apenas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
apianas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
apicneialisa,1,NAME-F,0.961,0.663,0.961,0.039,0.000,0.000,0.000
apinasepi,1,NAME-M,0.961,0.663,0.032,0.961,0.008,0.000,0.000
apnies,2,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
aprnasa,1,NAME-M,0.994,0.663,0.005,0.994,0.000,0.000,0.000
aprthnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
apunas,3,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ara,1,NAME-M,0.962,0.663,0.002,0.962,0.036,0.000,0.000
aranth,1,NAME-M,0.966,0.663,0.000,0.966,0.034,0.000,0.000
aranthia,2,NAME-M,0.972,0.663,0.025,0.972,0.003,0.000,0.000
aranthial,1,NAME-F,0.934,0.663,0.934,0.066,0.000,0.000,0.000
aranthiatefu,1,NAME-M,0.942,0.663,0.007,0.942,0.051,0.000,0.000
arathial,1,NAME-F,0.987,0.663,0.987,0.013,0.000,0.000,0.000
arathiale,3,NAME-M,0.981,0.663,0.001,0.981,0.018,0.000,0.000
arazas,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
arcenziom,1,OTHER,0.997,0.663,0.000,0.002,0.997,0.000,0.000
arfthial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
arianas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arices,1,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
aricin,1,NAME-M,0.905,0.663,0.023,0.905,0.073,0.000,0.000
arinas,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ariodantes,7,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arithas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
armeal,1,NAME-F,0.958,0.663,0.958,0.041,0.001,0.000,0.000
armnial,1,NAME-F,0.986,0.663,0.986,0.014,0.000,0.000,0.000
arnias,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnkupfk,1,NAME-M,0.901,0.663,0.028,0.901,0.070,0.000,0.000
arnsa,1,NAME-M,0.971,0.663,0.028,0.971,0.000,0.000,0.000
arnthaes,1,NAME-M,0.986,0.663,0.000,0.986,0.014,0.000,0.000
arnthalitlepumpus,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthallarcesxxxa,1,NAME-M,0.904,0.663,0.085,0.904,0.011,0.000,0.000
arnthei,1,NAME-F,0.947,0.663,0.947,0.045,0.008,0.000,0.000
arntheiales,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
arnthias,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthiclauniuivetina,1,NAME-M,0.992,0.663,0.008,0.992,0.000,0.000,0.000
arnthivthv,1,NAME-M,0.981,0.663,0.010,0.981,0.009,0.000,0.000
arnthnial,1,NAME-F,0.968,0.663,0.968,0.032,0.000,0.000,0.000
arnthunas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthusa,3,NAME-M,0.998,0.663,0.002,0.998,0.000,0.000,0.000
arnthvl,1,NAME-M,0.903,0.663,0.075,0.903,0.023,0.000,0.000
arnti,1,NAME-F,0.933,0.663,0.933,0.066,0.001,0.000,0.000
arntial,1,NAME-F,0.990,0.663,0.990,0.010,0.000,0.000,0.000
arnties,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arntlial,1,NAME-F,0.990,0.663,0.990,0.010,0.000,0.000,0.000
arntnal,1,NAME-F,0.962,0.663,0.962,0.038,0.000,0.000,0.000
arntneial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
