word,freq,pred_class,prob_raw,prob_cal,p_FUNC,p_NAME-F,p_NAME-M,p_OTHER,p_THEO,p_VERB
aanth,1,NAME-M,0.906,0.653,0.000,0.002,0.906,0.091,0.000,0.000
aapia,1,OTHER,0.925,0.653,0.000,0.035,0.039,0.925,0.000,0.000
abiana,1,OTHER,0.938,0.653,0.000,0.014,0.048,0.938,0.000,0.000
aca,1,OTHER,0.994,0.653,0.000,0.003,0.003,0.994,0.000,0.000
acai,1,OTHER,0.975,0.653,0.000,0.025,0.001,0.975,0.000,0.000
acalactra,1,OTHER,0.955,0.653,0.000,0.043,0.002,0.955,0.000,0.000
acap,1,OTHER,0.995,0.653,0.000,0.001,0.004,0.995,0.000,0.000
acarcelini,1,NAME-F,0.972,0.653,0.000,0.972,0.028,0.000,0.000,0.000
acarial,1,NAME-F,0.998,0.653,0.000,0.998,0.000,0.002,0.000,0.000
acev,1,OTHER,0.998,0.653,0.000,0.000,0.002,0.998,0.000,0.000
acevzfthiklmnpsrstufch,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
acevzthikl,1,OTHER,0.998,0.653,0.000,0.002,0.000,0.998,0.000,0.000
achalu,1,OTHER,0.998,0.653,0.000,0.000,0.001,0.998,0.000,0.000
achleitruiestthesthufarce,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
achmenrun,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
achnus,1,NAME-M,0.998,0.653,0.000,0.001,0.998,0.000,0.000,0.000
achpprirutilefilucrates,1,OTHER,0.962,0.653,0.000,0.000,0.038,0.962,0.000,0.000
achratinialisa,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
achuis,1,NAME-M,0.923,0.653,0.000,0.044,0.923,0.031,0.001,0.000
achunial,2,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
achus,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
acilth,1,NAME-M,0.922,0.653,0.000,0.018,0.922,0.009,0.001,0.051
aclineial,1,NAME-F,1.000,0.653,0.000,1.000,0.000,0.000,0.000,0.000
acna,1,NAME-M,0.933,0.653,0.000,0.061,0.933,0.005,0.000,0.000
acnaine,1,OTHER,0.994,0.653,0.000,0.001,0.005,0.994,0.000,0.000
acnatna,1,OTHER,0.959,0.653,0.000,0.015,0.026,0.959,0.000,0.000
acrialsm,1,NAME-F,0.981,0.653,0.000,0.981,0.014,0.005,0.000,0.000
acries,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
acsial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
